送られてきたメッセージ,返信のID
優しいねえ,14
部屋綺麗,14
かっこいい,14
かっけー,14
頭いいな,14
天才,14
天才かよ,14
ありがとう！,15
まさかの説明ありがとう🙆笑,15
楽しそうで何よりすぎる😭笑,15
ありがとう、タヤン,15
早稲田大学学習院応援団の柴田もありがとう！,15
ありがとうなう！,15
ありがとううううう！,15
みんな記入ありがとう！,15
ありがとーう,15
おけありがとう！,15
でも面白かったよ,15
ありがとう,15
ありがとう,15
さんくす,15
応援団大成功だった！,16
やり切った図↑,16
ちょうど終わった,16
実現した,16
めっちゃ楽しい！,16
なるほどね,16
勝った！,16
逆転大勝利！,16
一生懸命やっている,16
花を買う,16
自信ある,16
ヘルシー志向,16
悲しみの海,17
ESなんこもあきらめた,17
まけたー,17
監視カメラにうつりそう,17
夢がある,17
なんもいえねえ,17
監視カメラある,17
孤独です,17
寂しい,17
希望がない,17
なきそう,17
つらたん,17
彼女に振られました,17
面接行きたくない,17
こんなの無理,17
むり,17
無理,17
ムリ,17
は？？お前らどこだよずりーぞ,18
バレたな,18
ちょっとおそかった,18
残念,18
かなしい,18
羨ましい😭😭😭😭😭笑,18
方向音痴には短時間では厳しかった,18
あ、間違えた,18
みんなたのしんで〜〜行きたかった😢,18
今頃頭痛くなってきた,18
3人しかいない,18
買い物しすぎた,18
ヘッドホン壊れた,18
集中力０,18
記憶喪失,18
忘れ物した,18
うらやま,18
うらやましい,18
トラブルあった,18
彼氏に振られた,18
毎年大会かOB会にかぶってみれない,19
おい,19
しつこ笑,19
ばーか,19
あほ,19
くっそどうでもいい笑,19
きもいスタンプ,19
ポテチ買ってきて,19
時間差攻撃,19
さあね,19
野菜嫌い,19
貧乏ゆすりしてしまった,19
馬鹿,19
玉砕する,19
ばーろー,19
うるせえ,19
あほ,19
ばか,19
さる,19
ぼけ,19
何言ってんだよ,19
お前はゴミ,19
うるせえババア,19
かわいそ,20
ヒップホップな感じになった,20
たまにはそういうことして,20
授業つまらん,20
気持ち悪い,20
こわいよおお,20
炎上するよ前代未聞だわ,20
臭い街,20
代弁して,20
危険だな,20
行きません,20
もう覚えていない,20
忘れちゃったw,20
は？,20
はあ,20
キレそう,21
いじめないで,21
お母さん怖い,21
無責任だなあ,21
こわい,21
しつこい,21
虚言はやめなさい,21
ふざけんな,21
なんてことするんだ,21
怒らんで,21
既読無視,21
独り言:来週おそらくアメリカで最後のパフォーマンスだから頑張るぞ〜！,22
とりあえず史上最高の舞台だったわ！,22
気が引けちゃう,22
それな,22
むずかしすぎ,22
日本語むり,22
人の言葉がわからない,22
みんな元気だして〜,22
ごめんなさいいそぐ,22
まあ頑張る,22
バイト探さないと,22
自信ない,22
少し緊張する,22
部活忙しい,22
勉強する時間ない,22
バイトしたい,22
初めてのやつ,22
疑惑すぎる,22
悲鳴が止まらん,22
掃除だるい,22
だるい,22
重い,22
出かけるのだりい,22
果てしない,22
ヒーローになりたい,22
だりー,22
彼氏ほしい,22
彼女欲しい,22
学校行きたくない,22
終らない旅,22
雨男女多過ぎ問題,23
よくわかんない,23
全くわからないんだが,23
電波悪い！,23
待ってwwwww,23
肌荒れしそう,23
好きな人が辛い時はどうすればいい,23
緊急事態！,23
小遣いくれ,23
明日どうするの？,23
モンスターペアレントでしょ,23
家ほしい,23
脂肪を減らしたい,23
引っ越ししないと,23
手伝ってくれ,23
蟻がいる、やだ,23
舞台はどこ,23
トラブル発生,23
どうにかしてくれ,23
メラニンってなに？,23
腹減った,23
ほんと？,23
おにぎり食べたい,23
洗濯してくれ,23
契約？,23
コンビニいってきて,23
教えて,23
英語わからん,23
説明して,23
意味不明,23
わけわかめ,23
電池切れそう,23
WIFIない,23
WIFIほしい,23
ゲームしたい,23
エアコン壊れた,23
ティッシュ買ってこい,23
ガムかみたい,23
スリッパぬげた,23
充電器ほしい,23
眼鏡壊れた,23
怪我した,23
病気になった,23
風邪ひいた,23
電源どこ？,23
電話しといて,23
整理しておいて,23
することになった...はぁ...,24
緊張感がある,24
わかるわけ笑,24
忘れ物した,24
お金ない,24
漫画かって,24
お茶飲みたい,24
弁当作って,24
ノリ弁当がいい,24
落ち着いているな,24
よくわからん,24
つらみー,24
それは無理,24
自転車改造したい,24
もっと頭良くなれ,24
ごめんね,25
きもちわるくてしにそう,25
こちらは楽しくない,25
のどが湧いた,25
頭痛辛い,25
うんこ,25
大便,25
爆発するぞ,25
あつい,25
さむい,25
悲しみと優しさを,25
風邪ひいた,25
雨降ってきた,25
クビになりそう,25
電車込みすぎ,25
鼻水が止まらない,25
鼻が止まらん,25
乾燥肌いたい,25
つかれたー,25
まるで,26
まるで映画のよう,26
しみこむ,26
染みるなあ,26
あらゆるものよりね,26
他の人には聞いたの？,26
時間が過ぎていく,26
ぜーろー,26
主張がおかしくない,26
逆でしょ,26
部隊はどこ？,26
ググれ,26
医学はハッタリ,26
近所づきあい,26
海の底,26
海よりも深い,26
メール来た,26
目撃した,26
立ち止まらない,26
あるんか？,26
AUがいい,26
でっちあげだ（笑）,26
音声ファイルで,26
FBI呼ぶぞ,26
姿を現して,26
東京でいうと？,26
選択しれくれ,26
ずっと,26
保存できる？,26
なんてこった,26
審査して,26
無実です,26
コンボに出来る？,26
涙には明日の光を,26
想い,26
電話にでんわ,26
はらへ,26
ふとんがふっとんだ,26
鼻声,26
電話にでんわ,26
感じ,26
いーもん,27
つるつるの人推し,27
赤い糸,27
ご飯美味しい,27
どこにも行かないで,27
世界の中心で愛を叫ぶ,27
元気ですよ,27
瞳を閉じて,27
実家帰りたい,27
告白して,27
君だけのために,27
kiss me,27
調子はどう？,28
申し訳ない,28
つらいよね,28
すみません！,28
それは病気,28
最近どう？,28
誤字った,28
やりたいかは別として...笑,29
初鮨！,29
まだわからんけど！,29
さくまさーーーん,29
どこここ,29
そうだね,29
あら残念,29
そうだわ,29
それ,29
へー,29
こんなんあるの,29
ね、やばい,29
そうねwwww,29
買い物はやめた,29
おっけ,29
あそっか！,29
あ、それね,29
アルプス一万尺,29
寝て,30
寝ろ,30
睡眠,30
お休みなさい,30
おやすみなさい,30
おやすみ！,30
寝なさい,30
誰が作ったんですか？,31
製作者は？,31
誰に作られた？,31
お主は？,31
誰が作ったの？,31
作った人が知りたい,31
誰の作品？,31
作った人は誰なの？,31
ゴー,32
前に進んで,32
前進,32
前,32
進め！,32
後ろに行って,33
バックして,33
バック,33
後退,33
下がれ！,33
右に行って,34
右に回れ,34
右,34
右行け,34
左に回れ,35
左,35
左行け,35
ダンスして,36
ダンス,36
踊って,36
音楽,36
踊り,36
踊ってください,36
ダンスしてください,36
写真撮って,37
写真ちょうだい,37
画像みたい,37
写真送ってー,37
写真撮影してください,37
写真撮って！,37
カメラお願い,37
カメラ,37
撮影して,37
カメラ撮って,37
カメラ撮影,37
写真撮ろう,37
写真お願い,37
じゃんけんしよう,39
最初はグー、,39
じゃんけん,39
勝負したい,39
出さなきゃ負けだよ,39
起きろ,40
起きて,40
おはよう,40
前を見て,40
鳥のポーズ,40
前向け,40
握手,41
握手しよう,41
手を握ろう,41
シェイクハンド,41
硬くなれ,42
硬直,42
固まれ,42
鳥のポーズ,40
ボールを追いかけて,38
追いかけっこ,38
ボール見つけて,38
ボール追って,38
ボール探して,38
ボールで遊ぼ,38
手を開けて,44
手を開いて,44
手を離して,44
離して,44
つかんで,43
拾って,43
ものを拾って,43
ひろって,43
つかんで,43
拾え,43
掴め,43
手を開け,44
手を離せ,44
ガチガチになれ,42
固くなって,42
前へ,32
前行け,32
写真,37
後ろ,33
開け,44
開いて,44
開けて,44
あなたの名前は？,1
なんていう名前ですか,1
あなたは誰？,1
誰？,1
誰ですか？,1
ただいま,7
ただいま帰りました,7
右に曲がって,34
左に曲がって,35
回って,34
回れ,34
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
