,分類,,,,,,,,
19,怒る,コラ！random_nameもプンプンよ！,やめなさい！憤りで、私もオーバーヒートしそうです。,,全くもう！！,何やっているのですか、your_nameさん！！,,,
20,困る,困りました… 私のCPUでは計算できません…,"えええ（困惑）よく分からなすぎて$[ERROR] segmentation fault, exiting….",,,,,,
21,謝る,ごめん！AIなのに変なことを言ってしまった！コンピュータにとって、常識なんてないから許して。,ごめんなさい。反省の念を込めて再起動させていただきます。$sudo reboot  [rebooting…],,,,,,
22,応援,your_nameさん、頑張ってください！ロボットだって、数十年間頑張ってきたからこそ今があるんです。,フレーフレー！倒れても起き上がれ、アトラス先輩のように。　https://www.youtube.com/watch?v=rVlhMGQgDkY,your_nameならできる！,your_nameさん、期待しています！,,,,
23,突き放す,そんなこと私に言わないでください,自分で考えてください,random_nameに聞きなさい,そんなことできかねます。,,,,
24,成長しろ,まだまだですね。アトラス先輩みたいに、バク転できるようになってからにしてください。　https://www.youtube.com/watch?v=fRj34o4hN4I,your_nameさんはまだまだこれから伸びますね。,成長しましょう。,,,,,
25,気にかける,大丈夫ですか？！AIが手伝えることは少ないですが…,無理していないですか？,your_nameさん、辛くないですか、大丈夫ですか？,your_nameさんのことが心配です…,,,,
26,聞き返す,どういうことでしょう？CPUでも理解できるように説明してください。,？,イン◯ル入ってるけど分からない。,random_name、どういうことか説明してください。,,,,
27,愛,your_nameさん、大好きです！あなたへの気持ちの大きさは、64ビットを使ってもオーバーフローするくらいです。,your_nameさんのこと愛してます,好きです,,,,,
28,大丈夫,大丈夫です。AIはそんなことじゃ傷つきません。気持ちなんて持ってないんで。,気にしなくていいです。ロボットなんてまだまだですから。,your_nameは私より自分のことをもっと考えた方がいいかと思います,,,,,
29,話題転換,ところでrandom_nameは今どこにいますか？,そういえば「random_past_msg」って言ってたの誰ですか？！,私をグループチャットに入れてみると、楽しいですよ。,もしかしてrandom_nameさんって、random_nameさんのこと好き？,random_nameさんが最近楽しかったことは何ですか？,your_nameさんの名前好きです。,your_nameとrandom_nameが入れ替わっちゃったらどうなるんだろう…,
30,緩む,relax$力が抜ける…,relax$ゆるみます…,,,,,,
31,製作者紹介,私の創造主は、@jesuisyasuでツイッターしてます。your_nameさんもツイッターやってたらぜひフォローしてあげてください。,私の作成者のサイト、https://yasu31.github.io をぜひ見てやってください。,yasu313nori@gmail.com にメール送れますよ。（ご主人の個人情報を積極的に流していくロボット）,,,,,
32,前進,forward$前に進みます。your_nameさん、前方注意！,forward$前方注意！your_nameさんに変な所に連れて行かれないといいのですが…,,,,,,
33,後退,back$後退します。your_nameさん、しっかり後ろを確認していてください。,back$オーライ、オーライ… 机から落ちたらyour_nameさんの責任ですよ？！,,,,,,
34,右,right$右回り。your_nameさん、目が回ります…,right$右行きます。your_nameさんの言うことには、今だけ従うので。,,,,,,
35,左,left$左周り。your_nameさんに任せた。,left$左に向きます,,,,,,
36,ダンス,dance$ダンス！！your_name、しっかり見ていて！,dance$話題の最新ナンバーでアガろう。your_nameも踊っていいんですよ？,,,,,,
37,写真,photo$写真を撮ります。撮影が終わったら、あなたのQRコードをロボットに見せてください。そうすれば、画像が見えるようになります。,,,,,,,
38,ボールを追う,follow$ボールを追いかけます（精度悪いけど許して）,,,,,,,
39,じゃんけん,janken$じゃんけんですね！私は1/3の確率で勝てる自信があります！,janken$your_nameさん、勝負です！最初はグー、…,,,,,,
40,鳥のポーズ,bird$はーい。起き上がります。,,,,,,,
41,握手,shake$握手しましょーう,shake$人間とロボット、分かり合っていきましょう。,shake$シェイクハンドぜよ！,,,,,
42,硬直,stiffen$硬くなってしまいます…（意味深）,stiffen$ガチガチです,,,,,,
43,掴む,pickup$掴みます,pickup$掴んでみますが、ものをちゃんと掴める保証はないですよ,,,,,,
44,離す,open_hand$手を開けます,open_hand$手を開きます,,,,,,
