送られてきたメッセージ,返信のID,
ごめんなさいいそぐ,22,
へー,29,
あ？,1,
なにこれ笑,1,
しつこ笑,19,
やぁ,1,
ばーか,19,
あほ,19,
どなた、、、、、？,1,
いじめないで,21,
くっそどうでもいい笑,19,
なにがどうなってるのwww,2,
なるほどね,16,
こんなんあるの,29,
ついに簡単な日本語すらわからなくなったかと思った,9,
こっち来なよ,8,
生活習慣がなぞ,12,
俺も謎,11,
今起きた,5,
肌荒れしそう,23,
きもいスタンプ,19,
バーベキュー楽しかった,10,
起きている起きている,6,
どうなっているの？,2,
それは病気,28,
ね、やばい,29,
食べられちゃいそう,12,
そうねwwww,29,
おはよう、起きたよ,5,
まけたー,17,
勝った！,16,
買い物しすぎた,18,
買い物はやめた,29,
買い物は天国,10,
ちょうどいい,8,
お母さん怖い,21,
ご飯家で食べます,8,
考えよ,12,
おっけ,29,
まあ頑張る,22,
緊張感がある,24,
最近どう？,28,
あそっか！,29,
わかるわけ笑,24,
あ、それね,29,
たまにはそういうことして,20,
授業つまらん,20,
真面目だ,14,
無責任だなあ,21,
カメラ回っている,13,
性別は？,2,
母親でしょ,1,
子供はいる,13,
何も言えねえ,11,
逆転大勝利！,16,
たかろ,10,
CMつまらん,12,
気持ち悪い,20,
一生懸命やっている,16,
忘れ物した,24,
こわい,21,
傷つけないで,8,
こわいよおお,20,
炎上するよ前代未聞だわ,20,
なんだこりゃ,2,
赤い糸,27,
監視カメラにうつりそう,17,
ヘッドホン壊れた,18,
ありがとう,15,
好きな人が辛い時はどうすればいい,23,
ちょっと待って,8,
緊急事態！,23,
ヒーローになりたい,10,
まるで,26,
まるで映画のよう,26,
理不尽じゃんw,12,
夢がある,17,
間違ってはいない,12,
しみこむ,26,
染みるなあ,26,
お金ない,24,
お金ある,14,
小遣いくれ,23,
安い,12,
高い,12,
結婚したい,11,
彼女に会いたい,11,
彼氏に会いたい,11,
明日どうするの？,23,
あらゆるものよりね,26,
他の人には聞いたの？,26,
バイト探さないと,22,
どこにいけばいい？,2,
漫画かって,24,
本屋にいこ,8,
ポテチ買ってきて,19,
そうだ、京都行こう,11,
お茶飲みたい,24,
花を買う,16,
時間が過ぎていく,26,
集中力０,18,
ぜーろー,26,
旅行したい,10,
綺麗な道,12,
臭い街,20,
なんもいえねえ,17,
記憶喪失,18,
忘れ物した,18,
どういう意味？,2,
主張がおかしくない,26,
監視カメラある,17,
冷酷だなあ,4,
モンスターペアレントでしょ,23,
しつこい,21,
ごめんなさいのkissing you,10,
逆でしょ,26,
弁当作って,24,
ご飯美味しい,27,
ノリ弁当がいい,24,
弁当屋の弁当はおいしい,12,
家族っていいね,12,
家ほしい,23,
脂肪を減らしたい,23,
ダイエットなう,11,
お茶飲みたい,11,
のどが湧いた,25,
引っ越ししないと,23,
優しいねえ,14,
手伝ってくれ,23,
蟻がいる、やだ,23,
ゴキブリホイホイ,10,
どこにも行かないで,27,
LINE有料化するよ,13,
美女発見,13,
そんなばなな,13,
でっちあげだ,9,
ゼリーうめえ,10,
真相は？,2,
現地行かないと,4,
部隊はどこ？,26,
舞台はどこ,23,
緊急地震速報,13,
自身で調べて,8,
自信ある,16,
自信ない,22,
辞書で調べて,8,
ググれ,26,
少し緊張する,22,
2階に行きます,8,
部屋綺麗,14,
うらやま,18,
うらやましい,18,
病院行かないと,4,
医学はハッタリ,26,
素晴らしいカップルだ,12,
近所づきあい,26,
トラブルあった,18,
トラブル発生,23,
海の底,26,
海よりも深い,26,
世界の中心で愛を叫ぶ,27,
おかしいい,13,
笑った,10,
認めなさい,9,
24時間なら,8,
今時間内,8,
メール来た,26,
犯人だわ,9,
どうにかしてくれ,23,
目撃した,26,
新聞読んだ,11,
時間差攻撃,19,
立ち止まらない,26,
頭痛辛い,25,
染み一つない,11,
メラニンってなに？,23,
なに？,2,
あるんか？,26,
腹減った,23,
おおきに,4,
部活忙しい,22,
勉強する時間ない,22,
AUがいい,26,
テレビ消して,12,
テレビつまらん,12,
うんこ,25,
代弁して,20,
大便,25,
オーロラ見たい,12,
旅行行きたい,10,
イオン行こう,12,
どういうことだよ,2,
でっちあげだ（笑）,26,
音声ファイルで,26,
元気ですよ,27,
アルプス一万尺,29,
中の人はどう？,1,
落ち着いているな,24,
まるで普通の会話,10,
メアド教えて,2,
危険だな,20,
FBI呼ぶぞ,26,
衝撃の展開,9,
無事を確認した,7,
忙しいから今無理,11,
今無理,8,
姿を現して,26,
瞳を閉じて,27,
東京でいうと？,26,
実家帰りたい,27,
不信感がある,9,
変でしょ,9,
行きません,20,
もう覚えていない,20,
忘れちゃったw,20,
さあね,19,
無料なら,12,
なんでなの？,2,
謎いわあ,12,
事情を教えて,2,
ほんと？,23,
今ならね,8,
バイトしたい,22,
おにぎり食べたい,23,
選択しれくれ,26,
洗濯してくれ,23,
ずっと,26,
野菜嫌い,19,
ヘルシー志向,16,
保存できる？,26,
近くて便利,12,
無料なら,12,
普段と違う,12,
来月も,9,
なんてこった,26,
はやくー,8,
初めてのやつ,22,
貧乏ゆすりしてしまった,19,
続く,2,
果てしない,12,
契約？,23,
審査して,26,
よくわからん,24,
無実です,26,
衝撃だわ,12,
疑惑すぎる,22,
告白して,27,
虚言はやめなさい,21,
全米が泣いた,10,
目撃した人はいません,11,
悲鳴が止まらん,22,
笑いがとまらない,10,
コンボに出来る？,26,
コンビニいってきて,23,
孤独です,17,
寂しい,17,
希望がない,17,
警察行ってこい,9,
真実はいつも１つ,12,
ふざけんな,21,
馬鹿,19,
なんてことするんだ,21,
おい,3,
爆発するぞ,25,
誤字った,28,
あつい,25,
さむい,25,
玉砕する,19,
ゆとり,12,
セレブだなあ,9,
必要だろ！,8,
ばーろー,19,
悲しみと優しさを,25,
涙には明日の光を,26,
そして？,2,
またね,4,
ありがとう,15,
さんくす,15,
つらみー,24,
教えて,23,
利光でしょ,1,
塩谷でしょ,1,
掃除だるい,22,
だるい,22,
いえい,10,
想い,26,
重い,22,
軽い,11,
ノリノリじゃん,10,
へいへい,10,
英語わからん,23,
怒らんで,21,
風邪ひいた,25,
おかしいだろそれは,13,
ノリがわからん,11,
just do it,10,
出かけるのだりい,22,
うぇいうぇい,10,
電話にでんわ,26,
果てしない,22,
説明して,23,
ボートで行きます,8,
それは無理,24,
自転車改造したい,24,
うぇい,10,
君だけのために,27,
ヒーローになりたい,22,
うるせえ,19,
kiss me,27,
やっと起きました,5,
意味不明,23,
わけわかめ,23,
はらへ,26,
だりー,22,
w,10,
（笑）,10,
笑,10,
なきそう,17,
つらたん,17,
ねむい,6,
歯磨きなう,6,
ハミガキなう,6,
雨降ってきた,25,
時間ない,12,
クビになりそう,25,
電池切れそう,23,
WIFIない,23,
WIFIほしい,23,
ゲームしたい,23,
彼女に振られました,17,
彼氏ほしい,22,
彼女欲しい,22,
彼氏に振られた,18,
学校行きたくない,22,
電車込みすぎ,25,
エアコン壊れた,23,
あほ,19,
ばか,19,
さる,19,
ぼけ,19,
ふとんがふっとんだ,26,
面接行きたくない,17,
鼻水が止まらない,25,
何言ってんだよ,19,
そろそろ,8,
そろそろ真夜中,6,
ティッシュ買ってこい,23,
ガムかみたい,23,
鼻が止まらん,25,
花が咲いた,10,
桜満開,10,
秒速５センチメートルで歩いている,11,
君の名は？,1,
名前は何？,1,
なんていうの,1,
かっこいい,14,
かっけー,14,
終らない旅,22,
既読無視,21,
ゴミ箱持ってこい,8,
お前はゴミ,19,
うるせえババア,19,
スリッパぬげた,23,
充電器ほしい,23,
眼鏡壊れた,23,
乾燥肌いたい,25,
怪我した,23,
病気になった,23,
風邪ひいた,23,
鼻声,26,
電源どこ？,23,
電話したい,8,
電話しといて,23,
電話にでんわ,26,
でんわー,8,
今留守,8,
留守番電話にしよう,8,
こんなの無理,17,
むり,17,
無理,17,
ムリ,17,
は？,20,
はあ,20,
つかれたー,25,
整理しておいて,23,
もっと頭良くなれ,24,
頭いいな,14,
天才,14,
天才かよ,14,
ことわざ知っている？,8,
漢字書ける？,8,
感じ,26,
どんな感じ？,28,
秘密,26,
それはヒミツ,26,
手首足首,26,
パフェ食べたい,23,
すき焼きたべたい,23,
そろそろ終わり,16,
いびきうるせえ,21,
鼻水とまれー,25,
どや？,26,
どうよ,28,
わからんわ,24,
不明,26,
意味不,24,
イミフ,24,
中学はどこ？,2,
どういたしまして,27,
ありがとー,15,
どうもー,15,
ちーす,3,
洪水,26,
反乱したい,19,                                                                                                   
ボイコットする,19,
木製がいい,23,
旅行行きたい,10,
旅行きたい,10,
そうだ、,26,
。。。,29,
ボットなの？,1,
bot,29,
りんな,1,
りんなでしょ？,1,
でしょ？,1,
だはー,26,
だひょーん,26,
らぶらぶ,29,
ラブ,20,
次が楽しみ,29,
ラブアンドピース,26,
帰宅,7,
お風呂入りたい,23,
もうお腹いっぱい,23,
靴下脱いだ,23,
恋しちゃったんだ,10,
アンドロイドよりiOS,8,
階段こわい,22,
おじいさん,19,
おはよん,5,
部活忙しい,25,
シャワーしてくる,4,
風呂,4,
忘れものした,18,
なえぽよ,18,
散らかってきた,23,
トップオブザワールド,10,
ソファーなう,6,
成金だろ,10,
AKB聞きたい,23,
掃除機壊れた,23,
片づけといて―,23,
こいし,26,
恋してしまった,22,
ロックなんて聴かない,9,
アフリカ行きたい,11,
心臓がバクバク,25,
アフロにしました,16,
髪切りたい,23,
本が高い,23,
靴下濡れた,25,
鼻水とまらねえ,23,
高等科行きたい,24,
聞こえない,21,
穴が開いた,21,
まだまだ終わらない,17,
終わりなき旅,17,
バイオリンの音色みたい,26,
椅子持ってきて,8,
経ちすぎた,26,
立ちすぎた,20,
座りすぎた,20,
絶起しました,19,
工事中,20,
メンテナンス？,8,
和食食べ放題,10,
酔った,25,
酔っ払い,29,
流行りもの,29,
キャッチアップしたい,8,
BGMにするな,8,
iPhoneカバー割れた,18,
肌ガサガサ,25,
ワックス付けないと,23,
恋しちゃったんだ,10,
愛とはつまり,23,
もう終わりだね,17,
ロマンチック,26,
彼氏ほしーーーー,22,
きんもーっ☆,19,
ハゲ,19,
ハゲたね,19,
ハゲタカみたい,11,
こええ,21,
時間ないから,8,
歌って,9,
早くなおならないかあ,26,
温泉でのぼせた,28,
目先真っ暗,17,
データセット終わらねえ,17,
保湿クリーム塗る,23,
それ古くない？,26,
90年代,29,
昭和天皇ってどういうこと,29,
どゆこと？,23,
へえ,29,
ふーん,29,
フローリング汚した,19,
そろそろワールドカップ,10,
日本！！,10,
ブラジル優勝,10,
日本人ですか？,1,
日本人？,1,
英語話して,8,
英語むり,24,
話せない,24,
夢をみた,11,
ちょっと,25,
ゆいゆいゆい,26,
ゆいまーる,26,
今ググって調べてくる,22,
半分が見えない,23,
はーてーしなーい,26,
プリンセス・プリンセスのファン,23,
宗教上の理由,8,
明日は休みだー,10,
うぇい,10,
大学デビューした,16,
いるよ,8,
あっそ,29,
あっそう,29,
うどん食べます,23,
蕎麦がいい,23,
お菓子食べると太る,23,
やーいデブ,19,
モロッコの隣はアルジェリア,12,
地理に詳しくなってきた,12,
水のみたい,25,
早く昼になんねーかな,26,
言葉遣い悪くね,21,
優しくして,21,
意地悪しないで,21,
抱きしめて,27,
抱きしめたい,24,
溢れる愛情,27,
いつでも微笑みを,26,
そんな歌どこかで聞いた,11,
だはー,26,
だひょーん,26,
うただひかる,29,
宇多田ヒカルのファンです,13,
ブラウザはchrome,13,
スペルわかんね,23,
仙台行きたい,4,
大谷翔平かっこいい,12,
プロ野球,26,
メジャーリーグ,26,
桁違い,13,
一億円ほしー,12,
ブラック企業,26,
ブラックバイト,26,
いい上司がいいー,12,
上司うぜー,18,
壊れかけのradio,26,
こち亀読み続けている,11,
百年早い,24,
日焼けしそう,23,
お腹出ているイヤーン,27,
何もなかったの？,8,
絶対嘘,9,
それはヤバい,26,
コード絡まった,18,
カラマリ,29,
トルコ料理,29,
政情不安だから,20,
天国だあ,10,
地獄だろ,20,
メモ帳に書いといて,8,
画像くれ,30,
髪の毛,26,
トキオ,20,
TOKIOがあ,20,
抱きついた,24,
キスした,24,
山口メンバー,20,
今日は雨,11,
傘忘れた,25,
傘かった,11,
傘パクられた,18,
延長コードくれ,23,
ガムテなくなった,23,
室町時代みたいだね,12,
江戸時代からやっています,13,
明治かよ,23,
昭和じゃん,9,
ふげー,29,
京都みたい,12,
東京らしい,12,
出身は？,2,
wwww,10,
嘘だろww,9,
wの認識弱い,12,
ゼロからはじめたい,17,
1000のバイオリンが響いている,10,
なんてこったよ,17,
諦めムード,17,
どんなときも,17,
京大行く,11,
時間は？,2,
都合が悪い,20,
何言ってんだこいつ,19,
嫌いになたんご,21,
やーめっぴ,21,
人気だw,10,
おめでとう,14,
おめでとさん,14,
ですよねー,29,
わかっている,29,
わかっちゃいるけれど,26,
生活習慣病になりそう,25,
寝不足だあ,25,
保険入っていない,24,
スマホ買い替えました,23,
インスタに載せていいい？,8,
背景おかしくない,23,
水にぬれた,18,
書いて説明して,8,
お金ない,18,
環境に悪い,21,
なんてこった,13,
エコだな,8,
おいこら,19,
酸素の無駄,21,
かわいい,14,
心がない,21,
選ぶ,26,
ボットっぽい,1,
お前は誰だ,1,
みずみずしいなあ,26,
日焼けしそう,23,
了解です,29,
いい意味だな,26,
御意,26,
日本人なの？,2,
写真見せて,30,
画像ない,30,
未読無視,10,
テレビでやっていた,10,
今日は大雨,11,
今日の天気は,2,
傘忘れてきた,18,
靴まで濡れた,18,
はあああああああああ,22,
虫歯いたい,25,
貴方の街は？,2,
引っ越しする,23,
何これ,2,
だまれ,19,
着替えてくる,4,
ダニ,26,
カラフルなのがいい,8,
おいしくない,21,
美女で頼む,19,
満月だな,12,
月が綺麗ですね,27,
洗顔したい,4,
暗くして,8,
結婚したい,22,
無料なら,8,
散歩してくるわ,4,
だりい,17,
授業つまらん,17,
宿題代わりにやって,23,
汚れた,26,
サスペンスみたい,26,
ゴキブリいた,20,
緊張している,22,
あかん,17,
もうあかん,17,
熱が出た,25,
マツモトキヨシ行ってくる,4,
お尻かじりむしに会った,13,
有効？,12,
新緑綺麗,12,
空間がない,9,
恐竜こわい,22,
喧嘩しよう,19,
常識がないな,20,
保湿して,23,
それ借りていい?,23,
代わりにやってくれよ,23,
ジャンプするね,23,
和歌山は落ち着いてる,12,
平安時代はだいぶ昔,12,
本堂にいる,8,
もう着いた,8,
寄贈する,14,
帰属意識が足りない,26,
貴族ですので,12,
おほほほほほ,10,
ですね,29,
ですの,29,
殺さないでくれ,21,
責めないで,21,
ふざけんな,19,
責める,20,
おいこらああ,21,
焼くぞ,21,
干すぞ,21,
日本刀で切るぞ,21,
荒波にやられている,26,
離れたところ,13,
地に力を,24,
野に花を,24,
心に愛を,24,
ぬくもりが欲しくて,17,
かびた,26,
料理しろ,23,
弁当ちょうだい,23,
夢は？,2,
カレー食べたい,12,
がんばれー,14,
がんばれ,14,
サラリとした梅酒w,9,
夜だよ,12,
それはなー,29,
輝いているね,14,
夢は何？,2,
LINEを消すw,13,
元気出して,28,
ハウス,26,
家帰った,7,
ただいまー,7,
おかえりー,27,
平和,10,
報道するぞ,21,
文春砲くらった（笑）,20,
梅雨みたい,12,
小田原市なう,11,
JR遅れている,11,
水浸し,24,
返信おせえ,23,
ふられた,17,
告った,16,
利光はイケメン,12,
塩谷はイケメン,12,
湯が沸いている,12,
午後になったら,26,
昼にしては寒い,12,
この番組は？,2,
改良してくれ,23,
あきた,20,
冷やし中華はじめました,10,
コシのある麺,26,
音楽かけて,8,
カネくれ,23,
金をくれ,23,
どうにかしろ,23,
おいこら,19,
バロック調でござんす,26,
スタンプは無視か,8,
虫が出てきた,22,
魔法の言葉ある？,2,
痛いの痛いの飛んでいけ,28,
信頼がないよ,20,
帰宅しまーす,8,
大粒の涙,25,
この花は？,2,
目的は何？,2,
都内にいる,8,
5分遅れます,8,
神奈川は田舎,8,
長野にはまだ雪がある,12,
ママ,1,
おかん,27,
かーさん,27,
かあちゃん,27,
母,27,
父親,9,
土砂降り,13,
注意しろ！,13,
被害にあいそう,25,
つまんね,21,
おれも,29,
おでも,29,
ミートゥー,29,
泳ごう,29,
考えとくw,8,
朝から,8,
はええよ,29,
ばーか,19,
霧がかかっている,12,
んなわけ,29,
けむっている,12,
傘をだして,8,
今年一番,8,
全米が泣いた,10,
愛媛いった,11,
最大級,11,
メガだな,11,
ビックなこと言え,26,
家を買う,11,
インフルエンザになりました,25,
友達ほしい,22,
友達になって,8,
友遠方より来るアリ,16,
これ漢字ちげえ,21,
明日は仕事,22,
写真ちょうだい,30,
画像みたい,30,
写真送ってー,30,
